,B__Prev,B__Age,B__Height,B__Weight,Last_round,Max_round,R__Prev,R__Age,R__Height,R__Weight,Streak,TIPClinch Time,TIPMisc. Ground Control Time,TIPMount Control Time,TIPDistance Time,TIPGround Control Time,TIPGuard Control Time,TIPGround Time,TIPBack Control Time,TIPSide Control Time,TIPControl Time,StrikesPunchesLanded,StrikesDistance Body PunchesLanded,TIPHalf Guard Control Time,StrikesLeg Total Strikes,StrikesClinch Leg Strikes,StrikesGround Significant Punches,StrikesGround Leg Strikes,GrapplingSubmissions,StrikesLegs Significant Strikes,StrikesHead Significant Strikes,StrikesDistance Body Punches,StrikesDistance Body Kicks,StrikesPunches,StrikesBody Significant Strikes,StrikesHead Total Strikes,StrikesSignificant Strikes,winner,B_HomeTown,B_Location,R_HomeTown,R_Location,B_name,R_name,B_W_Category,R_W_Category
579,2,29.0,170.0,61.0,3,3,2,34.0,170.0,61.0,0.0,2.6456217406881546,0.0,0.8275862068965517,5.5046781904080975,5.278958810740936,0.0,0.0,0.0,0.2501031535514294,7.286739634682486,3.441502463054188,0.0,0.0,0.0,0.0,1.6597981208656238,0.0,0.0,0.0,72.12298432886665,0.0,0.0,0.0,0.0,0.0,6.153976751979393,0,343,523,225,220,Aljamain Sterling,Takeya Mizugaki,Bantamweight,Bantamweight
580,1,31.0,177.0,84.0,3,3,2,35.0,182.0,84.0,0.0,0.04819277108433735,0.0,0.0,0.4578313253012048,0.0,0.0,0.005291005291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,293,348,465,Chris Dempsey,Eddie Gordon,Light Heavyweight	,Light Heavyweight
581,2,33.0,190.0,93.0,3,3,2,29.0,190.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.907268170426063,0.0,0.0,0.0,2.5076312576312576,0.0,42.623715804563375,0,331,43,473,368,Gian Villante,Corey Anderson,,
582,4,34.0,187.0,77.0,3,3,2,37.0,182.0,77.0,0.0,7.977175175478463,0.02586206896551724,0.33515383843271,218.2007354531689,4.292986425339366,1.0,0.0,0.0,0.0,1.013238811427498,0.7463348719769598,1.5000000000000002,0.0,0.0,0.18274111675126906,0.0,0.0,0.1010054844606947,0.15696649029982362,23.83998539794402,0.0,0.0,4.9531691297208535,8.876884158136411,0.0,26.117232159321407,0,708,6,458,41,Tim Means,George Sullivan,Welterweight,Welterweight
583,2,31.0,187.0,84.0,1,3,2,38.0,185.0,84.0,0.0,1.1633108537252803,2.0,0.0,2.705521320128062,0.00516795865633075,0.0,46.37667887667889,0.0,0.0,0.9272815205300576,2.950226244343892,0.2857142857142857,0.0,0.0,0.0,0.26114633549182337,0.0,0.08977900552486189,0.0,14.043219208537128,0.0,0.0,2.51552369199428,3.6150192400192402,0.0,10.115350570696483,3,11,266,152,365,Chris Camozzi,Jacare Souza,Light Heavyweight	,Light Heavyweight
584,4,37.0,187.0,93.0,1,3,4,35.0,190.0,93.0,0.0,0.0,0.0,2.6302333801902233,0.0,28.349588686049128,0.0,0.0,0.0,0.3112407211028632,9.06956181519918,7.0773809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,954.1474926253688,0.0,0.0,0.0,0.0,0.0,6.709350804851304,3,157,55,228,233,Patrick Cummins,Ovince Saint Preux,,
585,1,31.0,175.0,65.0,1,3,1,31.0,170.0,65.0,0.0,5.115384615384615,1.6666666666666667,0.0,25.66666666666667,0.043478260869565216,0.0,0.0,0.0,0.0,0.2692307692307692,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,2.352272727272727,0.0,0.0,3,306,486,174,273,Jimy Hettes,Diego Brandao,Featherweight,Featherweight
586,5,26.0,180.0,65.0,3,3,2,34.0,172.0,65.0,0.0,0.0,0.0,0.3036721318818858,0.0,15.452688172043011,0.0,0.0,0.8887614678899083,0.0,1.2173726601191976,2.7993109388458226,3.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.45647584371082,0.17202432667245876,0.0,0.15795913856258684,6.789089266632148,0.0,17.16234889882488,0,437,541,412,330,Max Holloway,Cub Swanson,Featherweight,Featherweight
587,3,27.0,165.0,56.0,5,5,2,32.0,160.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.44345679012345,0.0,0.0,0.0,1.8064972286403291,0.0,3.0624437655835344,3,231,112,310,335,Kyoji Horiguchi,Demetrious Johnson,Flyweight,Flyweight
588,3,35.0,187.0,84.0,3,3,3,39.0,185.0,84.0,0.0,0.0,0.0,0.8724070930013206,0.0,0.0,0.0,0.0,0.0,0.02046783625730994,1.1873950530976396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.355580904595193,0.0,0.0,0.0,14.101791865935244,0.0,9.037552544968042,3,403,501,318,275,CB Dollaway,Michael Bisping,Light Heavyweight	,Light Heavyweight
589,1,36.0,182.0,84.0,3,3,2,38.0,180.0,77.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10404624277456648,0.015151515151515154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,477,197,464,299,Joe Riggs,Patrick Cote,Light Heavyweight	,Welterweight
